"('September', 0.724)","('Schools', 0.455)","('Educational facilities', 0.411)","('Months', 0.0)"
"(""Films about farmers' suicides in India"", 1.0)","('2009 films', 0.98)","('Engineering vehicles', 0.834)","('Heavy equipment', 0.834)","('Tractors', 0.834)","('Vehicles introduced in 1901', 0.834)","('2000s Hindi-language films', 0.668)","('Hindi-language films', 0.269)","('Agricultural machinery', 0.127)","('Indian films', 0.022)"
"('Hindu goddesses', 1.206)","('18th-century weapons', 0.96)","('19th-century weapons', 0.96)","('American Civil War weapons', 0.96)","('Early Modern European swords', 0.96)","('Hungarian words and phrases', 0.96)","('Modern European swords', 0.96)","('Police weapons', 0.96)","('Sabres', 0.96)","('Victorian-era weapons', 0.96)"
"('Martyrdom', 0.98)","('Religious terminology', 0.724)","('Cities and towns in Kargil district', 0.603)","('Hill stations in Ladakh', 0.603)","('Kargil', 0.603)","('Cities and towns in Ladakh', 0.545)","('Geography of Ladakh', 0.545)","('Memory', 0.535)","('Students', 0.483)","('Jungian archetypes', 0.379)"
"('Canadian films', 1.0)","('Canadian thriller films', 1.0)","('Films based on Canadian novels', 1.0)","('Films directed by George Mihalka', 1.0)","('1988 films', 0.886)","('2015 establishments in Uttar Pradesh', 0.817)","('Television channels and stations established in 2015', 0.817)","('Television channels based in Noida', 0.817)","('Atmospheric thermodynamics', 0.58)","('Hydraulics', 0.58)"
"('Cities and towns in Sangli district', 1.0)","('Sangli', 1.0)","('Cities and towns in Kolhapur district', 1.0)","('Kolhapur', 1.0)","('Barrages (dam)', 0.641)","('Dams', 0.641)","('Hydraulic structures', 0.641)","('Trains', 0.464)","('Cities in Maharashtra', 0.001)"
"('Inquiry', 0.769)","('People from Gurgaon', 0.668)","('Rajya Sabha members from Odisha', 0.603)","('Indian Administrative Service officers', 0.474)","('Evaluation methods', 0.395)","('Rajya Sabha', 0.379)","('National upper houses', 0.372)","('Wharton School of the University of Pennsylvania alumni', 0.304)","('Critical thinking skills', 0.243)","('Philosophy of science', 0.111)"
"('Inquiry', 0.769)","('Evaluation methods', 0.395)","('Critical thinking skills', 0.243)","('1948 establishments in Asia', 0.22)","('Israel', 0.22)","('Jewish polities', 0.22)","('Palestine (region)', 0.22)","('Political entities in the Land of Israel', 0.22)","('Levant', 0.211)","('States and territories established in 1948', 0.207)"
"('1984 AFC Asian Cup players', 1.0)","('Footballers at the 1986 Asian Games', 1.0)","('Footballers from Kolkata', 1.0)","('I-League managers', 1.0)","('Indian football biography stubs', 1.0)","('Indian football managers', 1.0)","('Mohammedan SC (Kolkata) managers', 1.0)","('SC East Bengal managers', 1.0)","('SC East Bengal players', 0.941)","('Inquiry', 0.769)"
"('Battles by type', 0.98)","('Sieges', 0.98)","('Siege warfare', 0.96)","('January', 0.868)","('Warfare of the Middle Ages', 0.801)","('Indian farmers', 0.695)","('Indian politicians', 0.695)","('People from Muzaffarnagar district', 0.695)","('Military strategy', 0.641)","(""Farmers' rights activists"", 0.641)"
"('Inquiry', 0.769)","('People from Gurgaon', 0.668)","('Rajya Sabha members from Odisha', 0.603)","('Indian Administrative Service officers', 0.474)","('Evaluation methods', 0.395)","('Wharton School of the University of Pennsylvania alumni', 0.304)","('Critical thinking skills', 0.243)","('Philosophy of science', 0.111)","('Bharatiya Janata Party politicians from Odisha', 0.1)","('Philosophical logic', 0.01)"
"('10 Peach original programming', 0.904)","('1980s Australian drama television series', 0.904)","('1985 Australian television series debuts', 0.904)","('1990s Australian drama television series', 0.904)","('2000s Australian drama television series', 0.904)","('2010s Australian drama television series', 0.904)","('2020s Australian drama television series', 0.904)","('Australian LGBT-related television shows', 0.904)","('Australian television soap operas', 0.904)","('Channel 5 (British TV channel) original programming', 0.904)"
"('Concepts in film theory', 0.31)","('Memory processes', 0.31)","('Narrative techniques', 0.298)","('Emotions', 0.006)"
"('Mizoram', 0.785)","('Borders', 0.243)","('States and territories established in 1987', 0.191)","('Geomorphology', 0.102)","('Physical geography', 0.096)","('Politicians from Ahmedabad', 0.064)","('Geography terminology', 0.063)","('Indian Vaishnavites', 0.062)","('Indian prisoners and detainees', 0.042)","('Rajya Sabha members from Gujarat', 0.041)"
"('Engineering vehicles', 0.834)","('Heavy equipment', 0.834)","('Tractors', 0.834)","('Vehicles introduced in 1901', 0.834)","('Agricultural machinery', 0.254)","('Farms', 0.199)","('Rural culture', 0.199)","('Land management', 0.176)","('History of agriculture', 0.153)","('Agricultural occupations', 0.147)"
"('1990s in Afghanistan', 0.96)","('2011 deaths', 0.96)","('2011 murders in Afghanistan', 0.96)","('20th-century heads of state of Afghanistan', 0.96)","('21st-century heads of state of Afghanistan', 0.96)","('Afghan Muslim Brotherhood members', 0.96)","('Afghan Muslims', 0.96)","('Afghan Sunni Muslims', 0.96)","('Afghan anti-communists', 0.96)","('Al-Azhar University alumni', 0.96)"
"('Liberty symbols', 0.886)","('Autonomy', 0.851)","('Free will', 0.628)","('Motivation', 0.58)","('Philosophy of life', 0.298)","('Planning', 0.042)","('Decision-making', 0.028)","('Social concepts', 0.002)","('Given names', 0.0)","('Surnames', 0.0)"
"('Flax', 1.0)","('Linen industry', 1.0)","('Linens', 0.96)","('Woven fabrics', 0.96)","('2018 biographical drama films', 0.668)","('2018 drama films', 0.668)","('2022 films', 0.668)","('Cultural depictions of actors', 0.668)","('Films about Bollywood', 0.668)","('Films directed by Rajkumar Hirani', 0.668)"
"('Belagavi district geography stubs', 1.0)","('Arthropod infestations', 1.0)","('Veterinary entomology', 1.0)","('Dog diseases', 0.98)","('Villages in Belagavi district', 0.834)","('Inquiry', 0.769)","('Judges', 0.724)","('Evaluation methods', 0.395)","('Critical thinking skills', 0.243)","('Philosophy of science', 0.111)"
"('Afterlife', 1.0)","('2012 singles', 1.0)","('Eskimo Joe songs', 1.0)","('Songs written by Joel Quartermain', 1.0)","('Songs written by Kavyen Temperley', 1.0)","('Songs written by Stuart MacLeod (musician)', 1.0)","('Warner Music Australasia singles', 1.0)","('Ghosts', 0.98)","('Paranormal terminology', 0.98)","('2010 songs', 0.904)"
"('Circumvention', 1.0)","('1993 establishments in Australia', 0.886)","('Biweekly magazines published in Australia', 0.886)","('Business in Australia', 0.886)","('Business magazines published in Australia', 0.886)","('Economy of Western Australia', 0.886)","('Magazines established in 1993', 0.886)","('Magazines published in Perth, Western Australia', 0.886)","('Pornography', 0.868)","('Sexuality', 0.868)"
"('Cabinets (furniture)', 0.96)","('Office equipment', 0.904)","('1993 establishments in Australia', 0.886)","('Biweekly magazines published in Australia', 0.886)","('Business in Australia', 0.886)","('Business magazines published in Australia', 0.886)","('Economy of Western Australia', 0.886)","('Magazines established in 1993', 0.886)","('Magazines published in Perth, Western Australia', 0.886)","('Furniture', 0.31)"
"('1978 establishments in India', 0.96)","('Biweekly magazines published in India', 0.96)","('Business magazine stubs', 0.96)","('Business magazines published in India', 0.96)","('Magazines established in 1978', 0.96)","('Actresses from Hyderabad, India', 0.941)","('Female models from Hyderabad, India', 0.941)","('Indian beauty pageant winners', 0.941)","('Bigg Boss (Hindi TV series) contestants', 0.922)","('1984 births', 0.681)"
"('Face', 0.304)"
"('1978 establishments in India', 0.96)","('Biweekly magazines published in India', 0.96)","('Business magazine stubs', 0.96)","('Business magazines published in India', 0.96)","('Magazines established in 1978', 0.96)","('Actresses from Hyderabad, India', 0.941)","('Female models from Hyderabad, India', 0.941)","('Indian beauty pageant winners', 0.941)","('Bigg Boss (Hindi TV series) contestants', 0.922)","('1984 births', 0.681)"
"('Termination of employment', 0.085)","('Politicians from Ahmedabad', 0.064)","('Indian Vaishnavites', 0.062)","('Indian prisoners and detainees', 0.042)","('Rajya Sabha members from Gujarat', 0.041)","('Ministers of Internal Affairs of India', 0.023)","('Presidents of Bharatiya Janata Party', 0.023)","('Politicians from Mumbai', 0.02)","('1964 births', 0.014)","('17th Lok Sabha members', 0.0)"
"('Blockades', 0.98)","('Economic warfare tactics', 0.98)","('Law of the sea', 0.98)","('Saws', 0.98)","('Mizoram', 0.785)","('Hebrew-language given names', 0.668)","('Military strategy', 0.641)","('States and territories established in 1987', 0.191)","('Military operations by type', 0.117)","('Tourism in Northeast India', 0.014)"
"('Cricket laws and regulations', 0.668)","('Cricket terminology', 0.668)","('Future', 0.524)","('Financial markets', 0.513)","('Money managers', 0.513)","('Philosophy of time', 0.0)","('Time', 0.0)"
"('Financial markets', 0.513)","('Money managers', 0.513)","('Humanities', 0.286)","('History', 0.215)","('Main topic articles', 0.0)"
"('Kargil War', 1.478)","('African-American musical groups', 0.904)","('Hip hop groups from New York City', 0.904)","('Musical groups from Queens, New York', 0.904)","('Nas', 0.904)","('1999 in India', 0.868)","('1999 in Pakistan', 0.868)","('1999 in international relations', 0.868)","('Conflicts in 1999', 0.868)","('History of mass media in Pakistan', 0.868)"
"('British campaign medals', 0.801)","('Military of British India', 0.801)","('Exonumia', 0.754)","('Medallists', 0.754)","('Silver', 0.754)","('Sports occupations and roles', 0.616)","('Noble metals', 0.535)","('Precious metals', 0.535)","('Electrical conductors', 0.524)","('Minerals in space group 225', 0.524)"
"('Financial markets', 0.513)","('Money managers', 0.513)","('Termination of employment', 0.085)"
"('Photographs', 0.96)","('Central Asia', 0.96)","('Cultural regions', 0.96)","('Former countries in East Asia', 0.96)","('Inner Asia', 0.96)","('Regions of China', 0.96)","('Western China', 0.96)","('East Asia', 0.941)","('Environmental science', 0.817)","('Tibet', 0.739)"
"('Termination of employment', 0.085)","('Human name disambiguation pages', 0.004)"
"('2020 disestablishments in California', 1.0)","('Lo-fi music groups', 1.0)","('Musical groups disestablished in 2020', 1.0)","('United States pop musical group stubs', 1.0)","('Dayanand Anglo-Vedic Schools System alumni', 0.98)","('Haryana MLAs 1996–2000', 0.98)","('Haryana MLAs 2014–2019', 0.98)","('People from Kaithal district', 0.98)","('State cabinet ministers of Haryana', 0.98)","('20th-century neologisms', 0.941)"
"('Dayanand Anglo-Vedic Schools System alumni', 0.98)","('Haryana MLAs 1996–2000', 0.98)","('Haryana MLAs 2014–2019', 0.98)","('People from Kaithal district', 0.98)","('State cabinet ministers of Haryana', 0.98)","('Haryana MLAs 2000–2005', 0.904)","('Members of the Haryana Legislative Assembly', 0.904)","('Engineering vehicles', 0.834)","('Heavy equipment', 0.834)","('Tractors', 0.834)"
"('Inquiry', 0.769)","('Arab cuisine', 0.754)","('Crocus', 0.754)","('Food colorings', 0.754)","('Greek cuisine', 0.754)","('Iranian cuisine', 0.754)","('Saffron', 0.754)","('Spanish cuisine', 0.754)","('Spices', 0.754)","('Iraqi cuisine', 0.724)"
"('Salgaocar FC players', 0.98)","('Sportspeople from Gurdaspur district', 0.98)","('Electrical systems', 0.904)","('Electromagnetism', 0.904)","('Voltage', 0.904)","('Association football midfielders', 0.851)","('Engineering vehicles', 0.834)","('Heavy equipment', 0.834)","('Tractors', 0.834)","('Vehicles introduced in 1901', 0.834)"
"('Inquiry', 0.769)","('People from Gurgaon', 0.668)","('Rajya Sabha members from Odisha', 0.603)","('Indian Administrative Service officers', 0.474)","('Evaluation methods', 0.395)","('Wharton School of the University of Pennsylvania alumni', 0.304)","('Critical thinking skills', 0.243)","('Orientation (geometry)', 0.117)","('Philosophy of science', 0.111)","('Bharatiya Janata Party politicians from Odisha', 0.1)"
"('Termination of employment', 0.085)"
"('Arab cuisine', 0.754)","('Crocus', 0.754)","('Food colorings', 0.754)","('Greek cuisine', 0.754)","('Iranian cuisine', 0.754)","('Saffron', 0.754)","('Spanish cuisine', 0.754)","('Spices', 0.754)","('Iraqi cuisine', 0.724)","('Indian spices', 0.709)"
"('Financial markets', 0.513)","('Money managers', 0.513)","('Termination of employment', 0.085)"
"('Books', 0.695)","('Documents', 0.628)","('Paper products', 0.557)","('Termination of employment', 0.085)","('Media formats', 0.0)"
"('Regalia', 0.98)","('Thrones', 0.98)","('Monarchy', 0.695)","('Public records', 0.211)","('Termination of employment', 0.085)","('Parliamentary procedure', 0.001)","('Meetings', 0.0)"
"('Kargil War', 1.478)","('Ancient Greek religion', 1.0)","('Christian symbols', 1.0)","('Christmas decorations', 1.0)","('Etruscan religion', 1.0)","('Floristry', 1.0)","('Interior design', 1.0)","('Seasonal traditions', 0.904)","('African-American musical groups', 0.904)","('Hip hop groups from New York City', 0.904)"
"('Governance of the British Empire', 0.22)","('Gubernatorial titles', 0.102)","('Termination of employment', 0.085)","('Government occupations', 0.059)","('Positions of authority', 0.0)"
"('Glacial deposits', 0.233)","('Glaciology', 0.233)","('Sedimentary rocks', 0.229)","('Sediments', 0.229)","('Governance of the British Empire', 0.22)","('Legal history', 0.135)","('Oaths', 0.133)","('Gubernatorial titles', 0.102)","('Government occupations', 0.059)","('Positions of authority', 0.0)"
"('Kaveri River', 1.0)","('Rivers of Karnataka', 1.0)","('Rivers of Tamil Nadu', 1.0)","('Ancient Indian rivers', 0.98)","('Rivers in Buddhism', 0.941)","('Sacred rivers', 0.941)","('Rivers of India', 0.922)","('Coromandel Coast', 0.316)","('Termination of employment', 0.085)","('Living arrangements', 0.043)"
"('Address (geography)', 0.248)","('Postal system', 0.238)","('Termination of employment', 0.085)","('Sociological terminology', 0.05)","('Emergence', 0.046)","('Human habitats', 0.001)","('Communication', 0.0)","('Human geography', 0.0)","('Home', 0.0)"
"('Inquiry', 0.769)","('People from Gurgaon', 0.668)","('Rajya Sabha members from Odisha', 0.603)","('Indian Administrative Service officers', 0.474)","('Evaluation methods', 0.395)","('Rajya Sabha', 0.379)","('National upper houses', 0.372)","('Wharton School of the University of Pennsylvania alumni', 0.304)","('Critical thinking skills', 0.243)","('Philosophy of science', 0.111)"
"('State cabinet ministers of Karnataka', 1.448)","('Members of the Karnataka Legislative Assembly', 0.886)","('People from Bagalkot district', 0.886)","('People from Hubli', 0.785)","('Members of the Karnataka Legislative Council', 0.681)","('Bharatiya Janata Party politicians from Karnataka', 0.658)","('Karnataka MLAs 2018–2023', 0.486)","('1960 births', 0.483)","('University of Mumbai alumni', 0.446)","('Karnataka MLAs 2008–2013', 0.422)"
"('Parades', 0.941)","('Street culture', 0.922)","('Walking', 0.724)","('March', 0.493)","('Ceremonies', 0.104)","('Anthropology', 0.043)","('Months', 0.0)"
"('Members of the Karnataka Legislative Assembly', 0.886)","('People from Bagalkot district', 0.886)","('Motion (physics)', 0.868)","('Mechanics', 0.754)","('State cabinet ministers of Karnataka', 0.724)","('Management of obesity', 0.513)","('University of Mumbai alumni', 0.446)","('Names', 0.372)","('Lexicography', 0.357)","('Bharatiya Janata Party politicians from Karnataka', 0.329)"
"('Endurance games', 0.941)","('Running', 0.941)","('Terrestrial locomotion', 0.941)","('Members of the Karnataka Legislative Assembly', 0.886)","('People from Bagalkot district', 0.886)","('State cabinet ministers of Karnataka', 0.724)","('University of Mumbai alumni', 0.446)","('Bharatiya Janata Party politicians from Karnataka', 0.329)","('Concepts in film theory', 0.31)","('Memory processes', 0.31)"
"('Editors', 0.695)","('Politicians', 0.411)","('Government of the Parthian Empire', 0.329)","('Government of the Sasanian Empire', 0.329)","('Titles in Azerbaijan', 0.323)","('Heads of state in Asia', 0.316)","('Ottoman titles', 0.298)","('Titles in Iran', 0.298)","('Persian words and phrases', 0.248)","('Titles in Pakistan', 0.169)"
"('1974 establishments in California', 0.904)","('International LGBT sports organizations', 0.904)","('Running clubs', 0.904)","('Face', 0.304)","('Termination of employment', 0.085)"
"('Classical elements', 0.98)","('Fire gods', 0.98)","('Fire in Hindu worship', 0.98)","('Messenger gods', 0.98)","('Lokapala', 0.96)","('Members of the Karnataka Legislative Assembly', 0.886)","('People from Bagalkot district', 0.886)","('Rigvedic deities', 0.834)","('State cabinet ministers of Karnataka', 0.724)","('Career development', 0.681)"
"(""Governors' houses in India"", 0.654)","('Governance of the British Empire', 0.22)","('Gubernatorial titles', 0.102)","('Termination of employment', 0.085)","('Government occupations', 0.059)","('Positions of authority', 0.0)"
"('Celebrity', 0.709)","('Actresses from Mangalore', 0.28)","('Big Brother (British TV series) contestants', 0.28)","('Businesspeople from Mangalore', 0.28)","('Cricket patrons', 0.28)","('Female models from Karnataka', 0.28)","('Film producers from Karnataka', 0.28)","('HIV/AIDS activists', 0.28)","('Indian female karateka', 0.28)","('Indian female martial artists', 0.28)"
"('Endurance games', 0.941)","('Running', 0.941)","('Terrestrial locomotion', 0.941)","('Members of the Karnataka Legislative Assembly', 0.886)","('People from Bagalkot district', 0.886)","('State cabinet ministers of Karnataka', 0.724)","('University of Mumbai alumni', 0.446)","('Bharatiya Janata Party politicians from Karnataka', 0.329)","('Concepts in film theory', 0.31)","('Memory processes', 0.31)"
"('People from Kota, Rajasthan', 0.941)","('Rajasthan MLAs 2013–2018', 0.709)","('1962 births', 0.591)","('Rajya Sabha', 0.379)","('National upper houses', 0.372)","('National lower houses', 0.323)","('Bharatiya Janata Party politicians from Rajasthan', 0.304)","('Lok Sabha', 0.233)","('Parliament of India', 0.174)","('Storm', 0.133)"
"('Cities and towns in Mehsana district', 0.96)","('Chinese cuisine', 0.941)","('Crops originating from China', 0.941)","('Tea', 0.941)","('Victorian cuisine', 0.941)","('Cities and towns in Gandhinagar district', 0.941)","('Gandhinagar', 0.941)","('Memorials to Mahatma Gandhi', 0.941)","('Indian slang', 0.904)","('Herbal and fungal stimulants', 0.904)"
"('Endurance games', 0.941)","('Running', 0.941)","('Terrestrial locomotion', 0.941)","('Members of the Karnataka Legislative Assembly', 0.886)","('People from Bagalkot district', 0.886)","('State cabinet ministers of Karnataka', 0.724)","('University of Mumbai alumni', 0.446)","('Bharatiya Janata Party politicians from Karnataka', 0.329)","('Concepts in film theory', 0.31)","('Memory processes', 0.31)"
"('Salgaocar FC players', 0.98)","('Sportspeople from Gurdaspur district', 0.98)","('Concurrency (computer science)', 0.941)","('Distributed computing problems', 0.941)","('Edsger W. Dijkstra', 0.941)","('Software anomalies', 0.904)","('Software bugs', 0.904)","('Association football midfielders', 0.851)","('Engineering vehicles', 0.834)","('Heavy equipment', 0.834)"
"('Barefoot', 1.0)","('Indian athletics biography stubs', 1.0)","('2007 non-fiction books', 1.0)","('Kenyan books', 1.0)","('Olympic Games books', 1.0)","('Running books', 1.0)","('Indian female sprinters', 0.98)","('Randomness', 0.98)","('Statistical ratios', 0.98)","('Wagering', 0.98)"
"('Turkish masculine given names', 0.724)","('Pakistani masculine given names', 0.654)","('Arabic-language surnames', 0.603)","('Masculine given names', 0.298)","('Arabic masculine given names', 0.199)","('Given names', 0.0)"
"('Set indices on newspapers', 0.834)","('Engineering vehicles', 0.834)","('Heavy equipment', 0.834)","('Tractors', 0.834)","('Vehicles introduced in 1901', 0.834)","('Agricultural machinery', 0.254)","('Farms', 0.199)","('Rural culture', 0.199)","('Land management', 0.176)","('History of agriculture', 0.153)"
"('Indian cricket biography, 1993 birth stubs', 0.98)","('Puducherry cricketers', 0.96)","('Punjab, India cricketers', 0.785)","('Rajasthani politicians', 0.62)","('Finance Ministers of Rajasthan', 0.568)","('People from Jodhpur', 0.568)","('Deputy chief ministers of Rajasthan', 0.557)","('Institute of Management Technology, Ghaziabad alumni', 0.557)","('People from Dausa district', 0.557)","('People from Saharanpur', 0.557)"
"('Set indices on newspapers', 0.834)","('Engineering vehicles', 0.834)","('Heavy equipment', 0.834)","('Tractors', 0.834)","('Vehicles introduced in 1901', 0.834)","('Agricultural occupations', 0.147)","('Farmers', 0.147)","('Agricultural machinery', 0.127)"
"('Government documents', 0.834)","('Rules', 0.834)"
"('Monuments and memorials', 0.851)","('People from Hubli', 0.785)","('State cabinet ministers of Karnataka', 0.724)","('Members of the Karnataka Legislative Council', 0.681)","('Cities and towns in Kargil district', 0.603)","('Hill stations in Ladakh', 0.603)","('Kargil', 0.603)","('Surnames of Nepalese origin', 0.568)","('Cities and towns in Ladakh', 0.545)","('Geography of Ladakh', 0.545)"
"('Cities and towns in Kargil district', 1.206)","('Hill stations in Ladakh', 1.206)","('Kargil', 1.206)","('Cities and towns in Ladakh', 1.09)","('Geography of Ladakh', 1.09)","('1990s English-language films', 0.98)","('1990s biographical drama films', 0.98)","('1990s historical films', 0.98)","('1990s war films', 0.98)","('1995 drama films', 0.98)"
"('African-American musical groups', 0.904)","('Hip hop groups from New York City', 0.904)","('Musical groups from Queens, New York', 0.904)","('Nas', 0.904)","('1999 in India', 0.868)","('1999 in Pakistan', 0.868)","('1999 in international relations', 0.868)","('Conflicts in 1999', 0.868)","('History of mass media in Pakistan', 0.868)","('Indo-Pakistani wars', 0.868)"
"('Hindu goddesses', 1.206)","('18th-century weapons', 0.96)","('19th-century weapons', 0.96)","('American Civil War weapons', 0.96)","('Early Modern European swords', 0.96)","('Hungarian words and phrases', 0.96)","('Modern European swords', 0.96)","('Police weapons', 0.96)","('Sabres', 0.96)","('Victorian-era weapons', 0.96)"
"('Cities and towns in Kargil district', 1.206)","('Hill stations in Ladakh', 1.206)","('Kargil', 1.206)","('Cities and towns in Ladakh', 1.09)","('Geography of Ladakh', 1.09)","('1990s English-language films', 0.98)","('1990s biographical drama films', 0.98)","('1990s historical films', 0.98)","('1990s war films', 0.98)","('1995 drama films', 0.98)"
"('2016 action comedy films', 0.695)","('2016 black comedy films', 0.695)","('British action comedy films', 0.695)","('British black comedy films', 0.695)","('British comedy thriller films', 0.695)","('Film4 Productions films', 0.695)","('Films about arms trafficking', 0.695)","('Films about violence', 0.695)","('Films directed by Ben Wheatley', 0.695)","('Films set in Boston', 0.695)"
"('Kulin Brahmin surnames', 0.269)","('Social groups of West Bengal', 0.269)","('Bengali Hindu surnames', 0.074)","('Brahmin communities', 0.049)","('Hindu surnames', 0.048)","('Indian surnames', 0.0)","('Surnames', 0.0)"
"('Calidris', 0.96)","('1974 establishments in California', 0.904)","('International LGBT sports organizations', 0.904)","('Running clubs', 0.904)","('Bird common names', 0.868)","('People from Hubli', 0.785)","('State cabinet ministers of Karnataka', 0.724)","('Books', 0.695)","('Members of the Karnataka Legislative Council', 0.681)","('Documents', 0.628)"
"('Government documents', 0.834)","('Rules', 0.834)"
"('Ani', 0.868)","('Archaeological sites in Eastern Anatolia', 0.868)","('Bagratid Armenia', 0.868)","('Buildings and structures in Kars Province', 0.868)","('Former capitals of Armenia', 0.868)","('Former populated places in Turkey', 0.868)","('Ruined churches in Turkey', 0.868)","('World Heritage Sites in Turkey', 0.851)","('Populated places of the Byzantine Empire', 0.834)","('Indian landlords', 0.724)"
"('Italian emigrants to India', 0.083)","('Members of National Advisory Council, India', 0.083)","('People from the Province of Vicenza', 0.083)","('People with acquired Indian citizenship', 0.083)","('Spouses of prime ministers of India', 0.083)","('Women opposition leaders', 0.075)","('Presidents of the Indian National Congress', 0.052)","('1946 births', 0.045)","('Leaders of the Opposition (India)', 0.029)","('Women in Uttar Pradesh politics', 0.014)"
"('Rajasthani politicians', 0.62)","('Finance Ministers of Rajasthan', 0.568)","('People from Jodhpur', 0.568)","('Deputy chief ministers of Rajasthan', 0.557)","('Institute of Management Technology, Ghaziabad alumni', 0.557)","('People from Dausa district', 0.557)","('People from Saharanpur', 0.557)","('Rajasthan MLAs 2018–2023', 0.557)","('University of Pennsylvania alumni', 0.545)","('Chief Ministers of Rajasthan', 0.535)"
"('1974 establishments in California', 0.904)","('International LGBT sports organizations', 0.904)","('Running clubs', 0.904)","('People from Hubli', 0.785)","('State cabinet ministers of Karnataka', 0.724)","('Members of the Karnataka Legislative Council', 0.681)","('Surnames of Nepalese origin', 0.568)","('Karnataka MLAs 2018–2023', 0.486)","('1960 births', 0.483)","('Chief Ministers of Karnataka', 0.476)"
"('1956 establishments in Tunisia', 1.0)","('Berber-speaking countries and territories', 1.0)","('Tunisia', 1.0)","('Hebrew-language surnames', 0.98)","('Maghrebi countries', 0.96)","('18th-century weapons', 0.96)","('19th-century weapons', 0.96)","('American Civil War weapons', 0.96)","('Early Modern European swords', 0.96)","('Hungarian words and phrases', 0.96)"
"('Bulk material handling', 0.98)","('Portable tools', 0.98)","('Ratnagiri', 0.834)","('Tourist attractions in Konkan', 0.834)","('Cities and towns in Ratnagiri district', 0.785)","('Packaging', 0.668)","('Barrages (dam)', 0.641)","('Dams', 0.641)","('Hydraulic structures', 0.641)","('Film and video terminology', 0.545)"
